,education,capital-loss,hours-per-week,race,gender,workclass,educational-num,fnlwgt,age,occupation,capital-gain,marital-status,relationship,income,race,gender,age
14819,HS-grad,1740,40,Black,Male,Private,9,119170,53,Transport-moving,0,Married-civ-spouse,Husband,<=50K,Black,Male,53
33123,10th,0,40,White,Male,Private,6,235639,30,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,30
5063,11th,1870,35,Black,Female,Private,7,230904,68,Machine-op-inspct,0,Widowed,Not-in-family,<=50K,Black,Female,68
28377,7th-8th,0,40,White,Female,Private,4,169180,49,Machine-op-inspct,0,Married-civ-spouse,Wife,<=50K,White,Female,49
36455,HS-grad,0,40,White,Male,Private,9,207103,21,Handlers-cleaners,0,Never-married,Own-child,<=50K,White,Male,21
25621,HS-grad,0,4,White,Female,?,9,84232,40,?,0,Never-married,Not-in-family,<=50K,White,Female,40
16246,9th,0,20,White,Male,Private,5,105460,19,Craft-repair,0,Never-married,Own-child,<=50K,White,Male,19
21857,Bachelors,0,30,White,Male,Private,13,34419,45,Transport-moving,0,Never-married,Not-in-family,<=50K,White,Male,45
7545,Some-college,0,40,White,Female,Private,10,204780,33,Adm-clerical,15024,Married-civ-spouse,Wife,>50K,White,Female,33
25292,HS-grad,0,40,White,Male,Private,9,248445,37,Handlers-cleaners,0,Divorced,Other-relative,<=50K,White,Male,37
35714,Bachelors,0,40,White,Male,?,13,367984,59,?,0,Married-civ-spouse,Husband,<=50K,White,Male,59
19632,Some-college,1719,25,White,Female,?,10,96851,30,?,0,Never-married,Not-in-family,<=50K,White,Female,30
40720,HS-grad,0,40,White,Female,Private,9,242670,58,Adm-clerical,0,Never-married,Unmarried,<=50K,White,Female,58
21180,Masters,1876,42,White,Male,Local-gov,14,101593,44,Prof-specialty,0,Never-married,Not-in-family,<=50K,White,Male,44
31552,Some-college,0,40,White,Male,Private,10,90363,51,Adm-clerical,15024,Married-civ-spouse,Husband,>50K,White,Male,51
24788,Some-college,0,35,White,Female,Local-gov,10,101517,34,Adm-clerical,0,Divorced,Unmarried,<=50K,White,Female,34
45235,HS-grad,0,40,White,Male,Private,9,132716,50,Transport-moving,0,Married-civ-spouse,Husband,>50K,White,Male,50
8605,Bachelors,0,40,White,Male,Self-emp-inc,13,263786,29,Sales,0,Never-married,Not-in-family,>50K,White,Male,29
16403,Bachelors,0,40,Black,Male,Private,13,77143,30,Exec-managerial,0,Never-married,Own-child,<=50K,Black,Male,30
44137,Prof-school,0,70,White,Male,Private,15,159049,60,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,60
39050,HS-grad,0,40,White,Male,Private,9,214858,28,Transport-moving,0,Married-civ-spouse,Husband,<=50K,White,Male,28
305,Bachelors,0,40,Black,Male,Local-gov,13,263690,37,Prof-specialty,0,Never-married,Unmarried,<=50K,Black,Male,37
5087,1st-4th,0,15,White,Male,?,2,35751,35,?,0,Married-civ-spouse,Husband,<=50K,White,Male,35
5356,Some-college,1887,40,White,Male,Private,10,111895,42,Craft-repair,0,Married-civ-spouse,Husband,>50K,White,Male,42
8128,HS-grad,0,35,White,Female,Self-emp-not-inc,9,164725,27,Other-service,3464,Married-civ-spouse,Wife,<=50K,White,Female,27
15320,Bachelors,0,40,White,Male,Private,13,175942,57,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,57
24990,Some-college,0,25,Black,Male,Private,10,130724,22,Sales,0,Never-married,Own-child,<=50K,Black,Male,22
48698,Some-college,0,56,White,Female,Private,10,227778,20,Sales,0,Never-married,Not-in-family,<=50K,White,Female,20
4257,Some-college,0,50,Black,Female,Private,10,308171,38,Tech-support,0,Separated,Unmarried,<=50K,Black,Female,38
28400,Some-college,1579,48,White,Male,Self-emp-not-inc,10,58898,54,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,54
26174,HS-grad,0,40,White,Male,Private,9,214993,30,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,30
21553,9th,0,40,White,Female,Private,5,141758,90,Adm-clerical,0,Never-married,Not-in-family,<=50K,White,Female,90
25183,HS-grad,0,40,Black,Male,Private,9,228190,35,Transport-moving,0,Married-civ-spouse,Husband,<=50K,Black,Male,35
24560,HS-grad,0,50,White,Male,Private,9,447346,36,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,36
4338,12th,0,55,White,Male,Self-emp-not-inc,8,205033,44,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,44
7164,Assoc-voc,0,40,Black,Female,Federal-gov,11,128553,29,Adm-clerical,0,Never-married,Unmarried,<=50K,Black,Female,29
35049,Some-college,0,40,White,Male,Local-gov,10,143766,34,Protective-serv,0,Never-married,Own-child,<=50K,White,Male,34
45876,Some-college,0,40,White,Female,Private,10,46870,41,Exec-managerial,0,Divorced,Not-in-family,<=50K,White,Female,41
19906,Bachelors,0,60,White,Male,Private,13,236910,35,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,White,Male,35
19417,Some-college,0,50,White,Male,Self-emp-not-inc,10,32172,45,Farming-fishing,0,Never-married,Not-in-family,<=50K,White,Male,45
48221,HS-grad,0,15,White,Male,Self-emp-not-inc,9,122094,68,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,68
41448,Some-college,0,20,White,Female,Private,10,163015,19,Sales,0,Never-married,Own-child,<=50K,White,Female,19
44471,HS-grad,0,30,White,Male,Private,9,434430,18,Prof-specialty,0,Never-married,Not-in-family,<=50K,White,Male,18
10563,Some-college,0,40,White,Male,Private,10,276839,45,Sales,0,Married-spouse-absent,Not-in-family,<=50K,White,Male,45
14300,Bachelors,0,40,White,Male,Private,13,234508,42,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,42
6501,HS-grad,0,35,White,Female,Private,9,179422,19,Other-service,0,Never-married,Not-in-family,<=50K,White,Female,19
22337,HS-grad,0,42,White,Female,Private,9,108502,42,Sales,0,Divorced,Not-in-family,<=50K,White,Female,42
29923,Some-college,0,35,White,Male,Private,10,206609,34,Sales,0,Never-married,Unmarried,<=50K,White,Male,34
45870,Some-college,0,40,White,Female,Private,10,108687,21,Sales,0,Never-married,Own-child,<=50K,White,Female,21
25840,Doctorate,0,60,White,Male,Private,16,46221,42,Other-service,27828,Married-spouse-absent,Not-in-family,>50K,White,Male,42
28472,Some-college,0,30,White,Male,Self-emp-not-inc,10,141795,27,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,White,Male,27
40674,Bachelors,0,38,White,Female,Private,13,193090,23,Prof-specialty,0,Never-married,Not-in-family,<=50K,White,Female,23
20549,HS-grad,0,45,White,Male,Private,9,281021,36,Transport-moving,0,Never-married,Not-in-family,<=50K,White,Male,36
29756,Some-college,0,15,White,Female,Private,10,198259,21,Adm-clerical,0,Never-married,Own-child,<=50K,White,Female,21
10330,7th-8th,0,45,White,Male,Private,4,406664,37,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,37
16853,11th,0,12,White,Male,Private,7,242718,17,Sales,0,Never-married,Own-child,<=50K,White,Male,17
16066,Bachelors,0,65,White,Male,Self-emp-inc,13,292569,46,Tech-support,7298,Married-civ-spouse,Husband,>50K,White,Male,46
47068,Prof-school,0,55,White,Male,Self-emp-inc,15,206903,29,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,29
12052,Some-college,0,36,Black,Male,?,10,173178,27,?,0,Never-married,Not-in-family,<=50K,Black,Male,27
48380,Some-college,0,10,White,Female,Private,10,118993,55,Exec-managerial,0,Separated,Unmarried,<=50K,White,Female,55
16596,Some-college,0,40,White,Male,Private,10,191954,24,Machine-op-inspct,0,Never-married,Not-in-family,<=50K,White,Male,24
35986,Assoc-voc,0,45,White,Male,Self-emp-not-inc,11,32533,41,Farming-fishing,0,Married-civ-spouse,Husband,<=50K,White,Male,41
14509,Some-college,0,40,White,Male,Local-gov,10,52262,24,Adm-clerical,0,Never-married,Not-in-family,<=50K,White,Male,24
37791,Some-college,0,50,White,Male,Self-emp-inc,10,58359,49,Exec-managerial,15024,Married-civ-spouse,Husband,>50K,White,Male,49
18767,9th,0,5,Black,Male,?,5,164849,75,?,1409,Married-civ-spouse,Husband,<=50K,Black,Male,75
36754,Bachelors,0,40,White,Male,Federal-gov,13,114537,43,Prof-specialty,0,Married-civ-spouse,Husband,<=50K,White,Male,43
25302,Bachelors,0,60,White,Male,Self-emp-not-inc,13,313729,34,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,34
45475,Bachelors,0,50,White,Female,Self-emp-not-inc,13,55568,39,Farming-fishing,0,Married-civ-spouse,Wife,<=50K,White,Female,39
34646,Some-college,0,40,White,Female,Private,10,196529,37,Other-service,2354,Widowed,Not-in-family,<=50K,White,Female,37
34039,HS-grad,0,43,White,Male,Private,9,196707,49,Machine-op-inspct,7298,Married-civ-spouse,Husband,>50K,White,Male,49
48101,9th,0,40,White,Male,Private,5,451059,39,Handlers-cleaners,0,Married-civ-spouse,Husband,<=50K,White,Male,39
835,HS-grad,0,40,White,Male,Private,9,176520,25,Tech-support,0,Never-married,Not-in-family,<=50K,White,Male,25
2885,Bachelors,0,40,Asian-Pac-Islander,Male,Private,13,320451,40,Tech-support,0,Married-civ-spouse,Husband,>50K,Asian-Pac-Islander,Male,40
46560,Bachelors,0,50,White,Male,Private,13,375482,29,Prof-specialty,0,Never-married,Not-in-family,<=50K,White,Male,29
17272,Assoc-voc,0,40,White,Male,Private,11,194636,41,Machine-op-inspct,0,Married-civ-spouse,Husband,<=50K,White,Male,41
47195,11th,0,30,White,Male,Private,7,46746,34,Other-service,0,Never-married,Not-in-family,<=50K,White,Male,34
25247,Assoc-voc,0,48,White,Male,Private,11,99212,43,Exec-managerial,3103,Married-civ-spouse,Husband,>50K,White,Male,43
6306,HS-grad,0,46,White,Male,Private,9,99156,38,Sales,0,Divorced,Unmarried,<=50K,White,Male,38
9676,Assoc-voc,0,40,White,Female,Private,11,205816,46,Prof-specialty,0,Married-civ-spouse,Wife,>50K,White,Female,46
19133,HS-grad,0,30,White,Female,Self-emp-not-inc,9,32778,54,Sales,0,Married-civ-spouse,Wife,<=50K,White,Female,54
45761,HS-grad,0,37,Black,Female,?,9,138504,24,?,0,Separated,Unmarried,<=50K,Black,Female,24
1308,Some-college,0,20,White,Female,Private,10,106306,19,Craft-repair,0,Never-married,Own-child,<=50K,White,Female,19
40833,10th,0,24,White,Female,Local-gov,6,143865,51,Other-service,0,Widowed,Not-in-family,<=50K,White,Female,51
13632,7th-8th,0,40,White,Female,Private,4,182855,54,Adm-clerical,0,Divorced,Not-in-family,<=50K,White,Female,54
11041,11th,0,40,White,Female,Private,7,114011,63,Other-service,0,Divorced,Not-in-family,<=50K,White,Female,63
14822,Masters,0,28,White,Female,Local-gov,14,187385,39,Prof-specialty,0,Married-civ-spouse,Wife,>50K,White,Female,39
21300,5th-6th,0,40,White,Male,Private,3,445758,22,Handlers-cleaners,0,Never-married,Not-in-family,<=50K,White,Male,22
39493,HS-grad,0,40,White,Female,Private,9,266945,50,Machine-op-inspct,3137,Married-civ-spouse,Wife,<=50K,White,Female,50
9701,Prof-school,0,50,White,Male,Private,15,349986,48,Prof-specialty,99999,Married-civ-spouse,Husband,>50K,White,Male,48
30125,HS-grad,0,44,White,Male,Private,9,346909,24,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,24
11855,Bachelors,0,40,White,Male,Self-emp-inc,13,123490,43,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,43
27009,HS-grad,0,82,White,Female,Private,9,28291,61,Farming-fishing,0,Divorced,Not-in-family,<=50K,White,Female,61
32514,HS-grad,0,35,White,Male,Self-emp-not-inc,9,184655,37,Craft-repair,0,Never-married,Not-in-family,<=50K,White,Male,37
40298,7th-8th,0,24,White,Female,State-gov,4,29276,65,Other-service,0,Widowed,Other-relative,<=50K,White,Female,65
26081,Some-college,0,40,Black,Male,Private,10,721161,44,Machine-op-inspct,0,Separated,Not-in-family,<=50K,Black,Male,44
16973,Some-college,0,50,White,Male,Private,10,262425,42,Prof-specialty,0,Married-civ-spouse,Husband,<=50K,White,Male,42
3518,Bachelors,0,60,White,Male,Self-emp-not-inc,13,32948,45,Farming-fishing,0,Married-civ-spouse,Husband,<=50K,White,Male,45
551,10th,0,35,White,Male,Private,6,113587,26,Machine-op-inspct,0,Divorced,Own-child,<=50K,White,Male,26
2236,HS-grad,0,50,White,Male,Private,9,265361,21,Farming-fishing,0,Never-married,Not-in-family,<=50K,White,Male,21
31396,Some-college,0,50,White,Male,Private,10,257042,35,Prof-specialty,0,Married-civ-spouse,Husband,<=50K,White,Male,35
18263,Bachelors,0,40,Black,Female,Private,13,348491,31,Exec-managerial,0,Never-married,Not-in-family,<=50K,Black,Female,31
48072,Some-college,0,40,White,Male,Self-emp-not-inc,10,101722,46,Exec-managerial,3137,Married-civ-spouse,Husband,<=50K,White,Male,46
37309,10th,0,40,White,Female,Private,6,90668,31,Other-service,0,Never-married,Not-in-family,<=50K,White,Female,31
21530,Some-college,0,45,White,Male,Self-emp-not-inc,10,41496,52,Sales,0,Married-civ-spouse,Husband,<=50K,White,Male,52
17820,HS-grad,0,40,Black,Male,Private,9,265954,35,Other-service,0,Separated,Not-in-family,<=50K,Black,Male,35
41416,Doctorate,1977,20,White,Female,Private,16,46990,40,Prof-specialty,0,Married-civ-spouse,Wife,>50K,White,Female,40
32032,Some-college,0,18,White,Male,Private,10,144750,19,Adm-clerical,0,Never-married,Own-child,<=50K,White,Male,19
42612,Some-college,0,40,White,Female,?,10,280699,27,?,0,Never-married,Unmarried,<=50K,White,Female,27
22424,Masters,0,20,White,Female,Local-gov,14,191177,28,Prof-specialty,0,Married-civ-spouse,Wife,>50K,White,Female,28
25363,HS-grad,0,40,White,Female,State-gov,9,96262,73,Adm-clerical,0,Widowed,Not-in-family,<=50K,White,Female,73
8841,9th,0,40,White,Male,Private,5,319998,29,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,29
39318,HS-grad,0,47,White,Male,Private,9,24967,20,Farming-fishing,0,Never-married,Own-child,<=50K,White,Male,20
27166,Some-college,0,40,Black,Female,Private,10,141264,23,Exec-managerial,0,Never-married,Other-relative,<=50K,Black,Female,23
34427,Bachelors,1902,40,White,Male,Self-emp-not-inc,13,131091,46,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,46
123,Some-college,0,40,White,Female,Private,10,110732,41,Tech-support,0,Divorced,Not-in-family,<=50K,White,Female,41
30119,Some-college,0,10,White,Female,State-gov,10,134192,22,Tech-support,0,Never-married,Own-child,<=50K,White,Female,22
26324,HS-grad,0,45,White,Male,Private,9,96226,28,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,28
22347,Some-college,0,50,Black,Male,Local-gov,10,56482,47,Prof-specialty,7688,Married-civ-spouse,Husband,>50K,Black,Male,47
2280,Some-college,0,55,White,Male,Private,10,77146,39,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,39
13248,7th-8th,0,60,White,Male,Private,4,200783,52,Machine-op-inspct,0,Married-civ-spouse,Husband,<=50K,White,Male,52
16948,HS-grad,0,40,Black,Male,Private,9,247019,42,Craft-repair,0,Married-civ-spouse,Husband,>50K,Black,Male,42
39666,Some-college,0,40,Black,Male,State-gov,10,326566,39,Transport-moving,0,Never-married,Own-child,<=50K,Black,Male,39
13493,HS-grad,0,10,White,Female,Private,9,191455,38,Other-service,0,Married-civ-spouse,Wife,<=50K,White,Female,38
13561,HS-grad,0,46,White,Male,Private,9,127651,32,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,32
25793,Some-college,0,40,White,Female,Private,10,70377,30,Machine-op-inspct,0,Never-married,Not-in-family,<=50K,White,Female,30
8095,Bachelors,0,41,White,Female,Private,13,56460,34,Sales,0,Never-married,Unmarried,<=50K,White,Female,34
14767,Some-college,0,40,White,Female,Private,10,197613,23,Adm-clerical,0,Never-married,Own-child,<=50K,White,Female,23
7720,Some-college,0,40,Asian-Pac-Islander,Male,Private,10,239539,23,Craft-repair,0,Never-married,Own-child,>50K,Asian-Pac-Islander,Male,23
16190,Prof-school,0,38,Asian-Pac-Islander,Male,Private,15,139057,39,Prof-specialty,0,Married-civ-spouse,Husband,<=50K,Asian-Pac-Islander,Male,39
41413,Bachelors,0,35,White,Female,Local-gov,13,177599,41,Prof-specialty,0,Divorced,Unmarried,<=50K,White,Female,41
592,HS-grad,0,35,Black,Female,Local-gov,9,105788,50,Exec-managerial,6497,Separated,Unmarried,<=50K,Black,Female,50
42999,7th-8th,0,40,White,Female,Private,4,176321,22,Other-service,0,Never-married,Unmarried,<=50K,White,Female,22
41534,Some-college,1380,70,White,Male,Private,10,115289,39,Sales,0,Divorced,Own-child,<=50K,White,Male,39
17651,Assoc-acdm,0,40,Black,Male,Private,12,403788,26,Other-service,0,Never-married,Own-child,<=50K,Black,Male,26
26016,Masters,0,40,Asian-Pac-Islander,Male,Private,14,180239,78,Craft-repair,0,Widowed,Unmarried,<=50K,Asian-Pac-Islander,Male,78
36108,Bachelors,0,30,White,Female,Private,13,193090,23,Adm-clerical,0,Never-married,Own-child,<=50K,White,Female,23
33397,Bachelors,2415,50,White,Male,Self-emp-not-inc,13,201742,44,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,44
13091,Some-college,0,40,White,Female,Private,10,295525,54,Protective-serv,0,Divorced,Unmarried,<=50K,White,Female,54
24886,Some-college,0,50,White,Male,Private,10,285457,21,Transport-moving,0,Never-married,Own-child,<=50K,White,Male,21
39502,Some-college,0,35,White,Male,Private,10,185948,21,Sales,0,Never-married,Own-child,<=50K,White,Male,21
11565,HS-grad,0,40,White,Male,Private,9,182615,20,Handlers-cleaners,0,Never-married,Own-child,<=50K,White,Male,20
28275,HS-grad,0,40,Black,Female,Private,9,92717,40,Other-service,0,Never-married,Unmarried,<=50K,Black,Female,40
39776,5th-6th,0,40,Black,Male,Private,3,170324,56,Craft-repair,0,Married-civ-spouse,Husband,<=50K,Black,Male,56
11313,Bachelors,0,30,White,Male,Self-emp-not-inc,13,183580,56,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,56
29,Some-college,0,60,White,Male,Self-emp-not-inc,10,109282,32,Prof-specialty,0,Never-married,Not-in-family,<=50K,White,Male,32
35169,Some-college,0,40,White,Male,Local-gov,10,216931,53,Protective-serv,4386,Married-civ-spouse,Husband,>50K,White,Male,53
19373,9th,1672,84,White,Male,Self-emp-not-inc,5,170114,60,Farming-fishing,0,Married-civ-spouse,Husband,<=50K,White,Male,60
9711,Some-college,0,30,White,Female,Private,10,179241,23,Other-service,0,Never-married,Own-child,<=50K,White,Female,23
22374,Some-college,0,45,White,Male,Private,10,213750,31,Sales,0,Never-married,Not-in-family,<=50K,White,Male,31
25773,HS-grad,0,70,White,Female,Private,9,115336,38,Other-service,0,Divorced,Unmarried,<=50K,White,Female,38
37555,Bachelors,0,7,White,Female,?,13,109912,43,?,0,Married-civ-spouse,Wife,>50K,White,Female,43
18011,Masters,0,90,White,Male,Private,14,180060,24,Exec-managerial,6849,Never-married,Own-child,<=50K,White,Male,24
814,HS-grad,0,15,White,Male,Self-emp-not-inc,9,28865,71,Farming-fishing,0,Married-civ-spouse,Husband,<=50K,White,Male,71
24677,HS-grad,0,45,White,Male,Private,9,337825,45,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,45
1706,Masters,0,60,White,Male,Local-gov,14,237546,57,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,57
16742,HS-grad,0,40,Black,Male,Local-gov,9,288825,54,Transport-moving,0,Married-civ-spouse,Husband,<=50K,Black,Male,54
44027,Some-college,0,30,White,Female,Private,10,179262,38,Adm-clerical,0,Divorced,Unmarried,<=50K,White,Female,38
649,HS-grad,0,20,Black,Female,Local-gov,9,197897,26,Adm-clerical,0,Never-married,Own-child,<=50K,Black,Female,26
3827,Bachelors,0,50,White,Male,Private,13,187450,27,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,White,Male,27
4916,Bachelors,0,55,White,Female,Local-gov,13,196673,38,Prof-specialty,0,Married-civ-spouse,Wife,<=50K,White,Female,38
16204,Assoc-voc,0,40,Asian-Pac-Islander,Female,Private,11,106910,57,Other-service,0,Divorced,Other-relative,<=50K,Asian-Pac-Islander,Female,57
40446,HS-grad,0,40,White,Female,Private,9,205830,19,Other-service,0,Never-married,Own-child,<=50K,White,Female,19
10993,Some-college,0,60,White,Male,Private,10,266062,26,Exec-managerial,0,Never-married,Not-in-family,<=50K,White,Male,26
14134,11th,0,40,Black,Male,?,7,1024535,29,?,0,Never-married,Own-child,<=50K,Black,Male,29
36964,Bachelors,0,40,White,Male,Private,13,320744,41,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,41
27273,7th-8th,0,40,White,Female,Private,4,198668,19,Other-service,0,Never-married,Not-in-family,<=50K,White,Female,19
24858,HS-grad,0,40,White,Male,Self-emp-not-inc,9,32537,59,Farming-fishing,0,Married-civ-spouse,Husband,>50K,White,Male,59
20139,Bachelors,0,40,Black,Female,Private,13,375680,31,Prof-specialty,0,Never-married,Unmarried,<=50K,Black,Female,31
22609,Some-college,0,40,White,Male,Private,10,175069,20,Adm-clerical,0,Never-married,Own-child,<=50K,White,Male,20
3808,HS-grad,0,40,White,Male,Private,9,309466,53,Craft-repair,0,Divorced,Not-in-family,<=50K,White,Male,53
46548,Some-college,0,11,White,Male,Private,10,229431,19,Prof-specialty,0,Never-married,Own-child,<=50K,White,Male,19
39353,5th-6th,0,36,White,Male,Private,3,413648,35,Farming-fishing,0,Never-married,Unmarried,<=50K,White,Male,35
23869,Bachelors,0,30,White,Female,Self-emp-not-inc,13,168223,60,Prof-specialty,0,Divorced,Not-in-family,<=50K,White,Female,60
37282,11th,0,10,White,Male,Private,7,38619,19,Machine-op-inspct,0,Never-married,Not-in-family,<=50K,White,Male,19
17435,HS-grad,0,40,White,Male,State-gov,9,165309,43,Protective-serv,0,Married-civ-spouse,Husband,<=50K,White,Male,43
12033,Some-college,0,40,White,Male,Private,10,107417,31,Prof-specialty,0,Never-married,Not-in-family,<=50K,White,Male,31
12016,Assoc-voc,0,50,White,Male,Self-emp-not-inc,11,157237,44,Prof-specialty,15024,Married-civ-spouse,Husband,>50K,White,Male,44
12631,10th,0,45,White,Male,Private,6,119522,30,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,30
3987,Bachelors,0,50,White,Male,Self-emp-not-inc,13,176360,60,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,60
15275,Some-college,0,30,White,Male,Private,10,473449,18,Handlers-cleaners,0,Never-married,Own-child,<=50K,White,Male,18
43872,HS-grad,0,20,White,Female,Private,9,263932,19,Other-service,0,Never-married,Own-child,<=50K,White,Female,19
17427,Some-college,0,60,White,Female,Self-emp-inc,10,205733,30,Exec-managerial,0,Never-married,Not-in-family,<=50K,White,Female,30
37866,Bachelors,0,40,White,Female,Private,13,176514,27,Adm-clerical,0,Never-married,Not-in-family,<=50K,White,Female,27
46975,HS-grad,1740,35,White,Male,Private,9,148738,46,Handlers-cleaners,0,Married-civ-spouse,Husband,<=50K,White,Male,46
38250,Some-college,0,40,White,Male,Federal-gov,10,544792,40,Farming-fishing,0,Married-civ-spouse,Husband,<=50K,White,Male,40
37617,Some-college,0,40,White,Male,Private,10,322674,23,Handlers-cleaners,0,Never-married,Not-in-family,<=50K,White,Male,23
13662,Prof-school,0,40,White,Female,Private,15,252257,33,Prof-specialty,0,Never-married,Not-in-family,<=50K,White,Female,33
6857,HS-grad,0,40,White,Female,Private,9,105357,48,Sales,0,Never-married,Unmarried,<=50K,White,Female,48
37808,Prof-school,0,40,Black,Male,Private,15,269045,46,Prof-specialty,0,Married-civ-spouse,Husband,>50K,Black,Male,46
39317,Assoc-acdm,0,40,White,Male,Self-emp-not-inc,12,133299,38,Transport-moving,0,Married-civ-spouse,Husband,<=50K,White,Male,38
30495,HS-grad,0,40,Asian-Pac-Islander,Male,Private,9,167106,32,Sales,0,Married-civ-spouse,Husband,<=50K,Asian-Pac-Islander,Male,32
1008,Masters,0,50,White,Male,Federal-gov,14,171589,41,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,41
38073,HS-grad,0,60,White,Male,Private,9,217460,33,Sales,0,Married-civ-spouse,Husband,>50K,White,Male,33
1630,Assoc-voc,0,20,White,Female,Private,11,174063,21,Other-service,0,Never-married,Own-child,<=50K,White,Female,21
12156,Some-college,0,40,White,Male,Private,10,27661,43,Craft-repair,0,Never-married,Not-in-family,<=50K,White,Male,43
36608,HS-grad,0,40,White,Male,Private,9,35551,55,Craft-repair,0,Divorced,Not-in-family,<=50K,White,Male,55
6313,Some-college,0,40,Black,Female,Private,10,91093,52,Sales,0,Divorced,Not-in-family,<=50K,Black,Female,52
30402,HS-grad,0,40,Black,Female,Private,9,152883,53,Adm-clerical,0,Widowed,Not-in-family,<=50K,Black,Female,53
25786,Some-college,0,40,White,Male,Local-gov,10,24763,40,Transport-moving,6849,Divorced,Unmarried,<=50K,White,Male,40
20572,12th,0,40,White,Male,Private,8,256609,32,Machine-op-inspct,0,Married-civ-spouse,Husband,<=50K,White,Male,32
4806,9th,0,40,White,Male,Self-emp-not-inc,5,115971,46,Sales,0,Married-civ-spouse,Husband,<=50K,White,Male,46
21797,HS-grad,0,30,White,Male,Self-emp-not-inc,9,183479,43,Craft-repair,0,Married-civ-spouse,Husband,<=50K,White,Male,43
31562,HS-grad,0,40,Black,Male,Private,9,100563,29,Transport-moving,0,Never-married,Own-child,<=50K,Black,Male,29
24420,Bachelors,0,50,White,Male,Local-gov,13,229651,39,Prof-specialty,0,Married-civ-spouse,Husband,>50K,White,Male,39
17092,Some-college,0,40,Black,Male,?,10,219941,22,?,0,Never-married,Own-child,<=50K,Black,Male,22
2277,HS-grad,0,30,White,Female,Private,9,166827,24,Sales,0,Divorced,Not-in-family,<=50K,White,Female,24
29020,HS-grad,0,60,White,Male,Private,9,27385,58,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,58
25532,Bachelors,0,25,White,Male,Private,13,46788,52,Craft-repair,0,Divorced,Unmarried,<=50K,White,Male,52
26088,Bachelors,0,50,White,Male,Private,13,329059,59,Craft-repair,0,Never-married,Not-in-family,<=50K,White,Male,59
43161,Bachelors,0,40,White,Male,Private,13,511068,42,Prof-specialty,7688,Married-civ-spouse,Husband,>50K,White,Male,42
20973,Some-college,0,12,White,Female,Self-emp-not-inc,10,168625,55,Tech-support,0,Divorced,Not-in-family,>50K,White,Female,55
37446,HS-grad,0,40,White,Male,Private,9,405309,46,Exec-managerial,0,Married-civ-spouse,Husband,<=50K,White,Male,46
42067,Bachelors,0,40,White,Male,State-gov,13,265201,62,Prof-specialty,0,Divorced,Not-in-family,<=50K,White,Male,62
605,Some-college,0,40,White,Female,Private,10,311376,21,Exec-managerial,0,Never-married,Other-relative,<=50K,White,Female,21
19616,HS-grad,0,40,White,Female,Private,9,197492,53,Machine-op-inspct,0,Divorced,Not-in-family,<=50K,White,Female,53
1576,HS-grad,0,40,White,Male,Federal-gov,9,38321,44,Craft-repair,0,Married-civ-spouse,Husband,>50K,White,Male,44
48203,HS-grad,0,40,White,Female,Private,9,51008,55,Adm-clerical,0,Divorced,Unmarried,<=50K,White,Female,55
6191,HS-grad,0,48,White,Male,Private,9,296212,37,Handlers-cleaners,0,Separated,Not-in-family,<=50K,White,Male,37
47878,Masters,0,80,White,Female,Local-gov,14,343231,49,Prof-specialty,0,Never-married,Not-in-family,<=50K,White,Female,49
5278,HS-grad,0,46,White,Male,Private,9,230238,19,Transport-moving,0,Never-married,Own-child,<=50K,White,Male,19
48373,Bachelors,1887,40,White,Male,Private,13,30529,39,Exec-managerial,0,Married-civ-spouse,Husband,>50K,White,Male,39
